+-------------------------------------+
|        Program final_project        |
| Author: Jose Antonio Quinonero Gris |
+-------------------------------------+

Model: Simple                                                                          
Method: RK4                                                                             

Initial time, t_0 (arbitrary units):       0.00
Time of simulation (arbitrary units):     100.00
Time step (arbitrary units):       0.00
Number of points: 50001

Constants:
alpha =   0.400000
alphaprime =   0.000000
beta =   0.100000
kappa =   1.100000
kappaprime =   0.000000
lambda =   0.400000

Results:
Number of iterations: 50001
Total time of simulation:          100.00

------------------------------------------------
           t            Prey           Predator
------------------------------------------------
           0.45           2.43          10.65
           0.45           2.41          10.65
           0.45           2.40          10.64
           0.46           2.38          10.64
           0.46           2.37          10.64
           0.46           2.35          10.63
           0.46           2.34          10.63
           0.46           2.32          10.63
           0.47           2.31          10.62
           0.47           2.29          10.62
           0.47           2.28          10.62
           0.47           2.27          10.61
           0.47           2.25          10.61
           0.48           2.24          10.60
           0.48           2.22          10.60
           0.48           2.21          10.60
           0.48           2.20          10.59
           0.48           2.18          10.59
           0.49           2.17          10.59
           0.49           2.15          10.58
           0.49           2.14          10.58
           0.49           2.13          10.57
           0.49           2.11          10.57
           0.50           2.10          10.57
           0.50           2.09          10.56
           0.50           2.07          10.56
           0.50           2.06          10.55
           0.50           2.05          10.55
           0.51           2.04          10.55
           0.51           2.02          10.54
           0.51           2.01          10.54
           0.51           2.00          10.53
           0.51           1.99          10.53
           0.52           1.97          10.52
           0.52           1.96          10.52
           0.52           1.95          10.52
           0.52           1.94          10.51
           0.52           1.93          10.51
           0.53           1.91          10.50
           0.53           1.90          10.50
           0.53           1.89          10.49
           0.53           1.88          10.49
           0.53           1.87          10.49
           0.54           1.86          10.48
           0.54           1.84          10.48
           0.54           1.83          10.47
           0.54           1.82          10.47
           0.54           1.81          10.46
           0.55           1.80          10.46
           0.55           1.79          10.45
           0.55           1.78          10.45
           0.55           1.77          10.44
           0.55           1.76          10.44
           0.56           1.74          10.43
           0.56           1.73          10.43
           0.56           1.72          10.43
           0.56           1.71          10.42
           0.56           1.70          10.42
           0.57           1.69          10.41
           0.57           1.68          10.41
           0.57           1.67          10.40
           0.57           1.66          10.40
           0.57           1.65          10.39
           0.58           1.64          10.39
           0.58           1.63          10.38
           0.58           1.62          10.38
           0.58           1.61          10.37
           0.58           1.60          10.37
           0.59           1.59          10.36
           0.59           1.58          10.36
           0.59           1.57          10.35
           0.59           1.56          10.35
           0.59           1.55          10.34
           0.60           1.54          10.34
           0.60           1.53          10.33
           0.60           1.53          10.33
           0.60           1.52          10.32
           0.60           1.51          10.32
           0.61           1.50          10.31
           0.61           1.49          10.31
           0.61           1.48          10.30
           0.61           1.47          10.30
           0.61           1.46          10.29
           0.62           1.45          10.29
           0.62           1.44          10.28
           0.62           1.44          10.27
           0.62           1.43          10.27
           0.62           1.42          10.26
           0.63           1.41          10.26
           0.63           1.40          10.25
           0.63           1.39          10.25
           0.63           1.38          10.24
           0.63           1.38          10.24
           0.64           1.37          10.23
           0.64           1.36          10.23
           0.64           1.35          10.22
           0.64           1.34          10.22
           0.64           1.34          10.21
           0.65           1.33          10.20
           0.65           1.32          10.20
           0.65           1.31          10.19
           0.65           1.30          10.19
           0.65           1.30          10.18
           0.66           1.29          10.18
           0.66           1.28          10.17
           0.66           1.27          10.17
           0.66           1.27          10.16
           0.66           1.26          10.16
           0.67           1.25          10.15
           0.67           1.24          10.14
           0.67           1.24          10.14
           0.67           1.23          10.13
           0.67           1.22          10.13
           0.68           1.22          10.12
           0.68           1.21          10.12
           0.68           1.20          10.11
           0.68           1.19          10.10
           0.68           1.19          10.10
           0.69           1.18          10.09
           0.69           1.17          10.09
           0.69           1.17          10.08
           0.69           1.16          10.08
           0.69           1.15          10.07
           0.70           1.15          10.06
           0.70           1.14          10.06
           0.70           1.13          10.05
           0.70           1.13          10.05
           0.70           1.12          10.04
           0.71           1.11          10.04
           0.71           1.11          10.03
           0.71           1.10          10.02
           0.71           1.09          10.02
           0.71           1.09          10.01
           0.72           1.08          10.01
           0.72           1.07          10.00
           0.72           1.07          10.00
           0.72           1.06           9.99
           0.72           1.06           9.98
           0.73           1.05           9.98
           0.73           1.04           9.97
           0.73           1.04           9.97
           0.73           1.03           9.96
           0.73           1.03           9.95
           0.74           1.02           9.95
           0.74           1.01           9.94
           0.74           1.01           9.94
           0.74           1.00           9.93
           0.74           1.00           9.92
           0.75           0.99           9.92
           0.75           0.99           9.91
           0.75           0.98           9.91
           0.75           0.97           9.90
           0.75           0.97           9.89
           0.76           0.96           9.89
           0.76           0.96           9.88
           0.76           0.95           9.88
           0.76           0.95           9.87
           0.76           0.94           9.86
           0.77           0.94           9.86
           0.77           0.93           9.85
           0.77           0.93           9.85
           0.77           0.92           9.84
           0.77           0.92           9.83
           0.78           0.91           9.83
           0.78           0.90           9.82
           0.78           0.90           9.82
           0.78           0.89           9.81
           0.78           0.89           9.80
           0.79           0.88           9.80
           0.79           0.88           9.79
           0.79           0.87           9.79
           0.79           0.87           9.78
           0.79           0.87           9.77
           0.80           0.86           9.77
           0.80           0.86           9.76
           0.80           0.85           9.75
           0.80           0.85           9.75
           0.80           0.84           9.74
           0.81           0.84           9.74
           0.81           0.83           9.73
           0.81           0.83           9.72
           0.81           0.82           9.72
           0.81           0.82           9.71
           0.82           0.81           9.71
           0.82           0.81           9.70
           0.82           0.80           9.69
           0.82           0.80           9.69
           0.82           0.80           9.68
           0.83           0.79           9.67
           0.83           0.79           9.67
           0.83           0.78           9.66
           0.83           0.78           9.66
           0.83           0.77           9.65
           0.84           0.77           9.64
           0.84           0.77           9.64
           0.84           0.76           9.63
           0.84           0.76           9.62
           0.84           0.75           9.62
           0.85           0.75           9.61
           0.85           0.74           9.61
           0.85           0.74           9.60
           0.85           0.74           9.59
           0.85           0.73           9.59
           0.86           0.73           9.58
           0.86           0.72           9.57
           0.86           0.72           9.57
           0.86           0.72           9.56
           0.86           0.71           9.56
           0.87           0.71           9.55
           0.87           0.71           9.54
           0.87           0.70           9.54
           0.87           0.70           9.53
           0.87           0.69           9.52
           0.88           0.69           9.52
           0.88           0.69           9.51
           0.88           0.68           9.51
           0.88           0.68           9.50
           0.88           0.68           9.49
           0.89           0.67           9.49
           0.89           0.67           9.48
