SIMPLE RULE

 h =   2.0000000000000000     
 IR =   0.0000000000000000     

COMPOSITE RULE

Iter. step   Subint. numb.     Integral value   Difference
         1       0.00000000       0.00000000
         2       0.84147098       0.84147098
         3       1.06020514       0.21873415
         4       1.15919576       0.09899062
         5       1.21535485       0.05615909
         6       1.25146045       0.03610560
         7       1.27660042       0.02513997
         8       1.29510120       0.01850078
         9       1.30928122       0.01418002
        10       1.32049345       0.01121223
        11       1.32958005       0.00908660
        12       1.33709241       0.00751236
        13       1.34340659       0.00631417
        14       1.34878779       0.00538120
        15       1.35342839       0.00464060
        16       1.35747133       0.00404293
        17       1.36102499       0.00355366
        18       1.36417307       0.00314808
        19       1.36698122       0.00280815
        20       1.36950165       0.00252043
        21       1.37177639       0.00227475
        22       1.37383969       0.00206330
        23       1.37571971       0.00188002
        24       1.37743982       0.00172011
        25       1.37901958       0.00157976
        26       1.38047549       0.00145591
        27       1.38182157       0.00134607
        28       1.38306977       0.00124821
        29       1.38423041       0.00116064
        30       1.38531238       0.00108197
        31       1.38632342       0.00101104
        32       1.38727028       0.00094686
        33       1.38815887       0.00088860
        34       1.38899442       0.00083555
        35       1.38978154       0.00078712
        36       1.39052432       0.00074278
        37       1.39122640       0.00070208
        38       1.39189104       0.00066464
        39       1.39252115       0.00063011
        40       1.39311936       0.00059821
        41       1.39368803       0.00056867
        42       1.39422929       0.00054126
        43       1.39474508       0.00051579
        44       1.39523715       0.00049207
        45       1.39570711       0.00046996
        46       1.39615641       0.00044930
        47       1.39658638       0.00042997
        48       1.39699825       0.00041187
        49       1.39739314       0.00039488
        50       1.39777206       0.00037893
        51       1.39813598       0.00036392
        52       1.39848577       0.00034979
        53       1.39882223       0.00033646
        54       1.39914611       0.00032388
        55       1.39945810       0.00031199
        56       1.39975885       0.00030075
        57       1.40004896       0.00029010
        58       1.40032897       0.00028001
        59       1.40059941       0.00027044
        60       1.40086075       0.00026135
        61       1.40111346       0.00025271
        62       1.40135795       0.00024449
        63       1.40159461       0.00023666
        64       1.40182382       0.00022921
        65       1.40204592       0.00022210
        66       1.40226123       0.00021532
        67       1.40247007       0.00020884
        68       1.40267273       0.00020265
        69       1.40286946       0.00019674
        70       1.40306054       0.00019107
        71       1.40324619       0.00018565
        72       1.40342665       0.00018046
        73       1.40360213       0.00017548
        74       1.40377283       0.00017070
        75       1.40393895       0.00016612
        76       1.40410067       0.00016172
        77       1.40425816       0.00015749
        78       1.40441159       0.00015343
        79       1.40456110       0.00014952
        80       1.40470686       0.00014576
        81       1.40484899       0.00014213
        82       1.40498764       0.00013865
        83       1.40512292       0.00013528
        84       1.40525497       0.00013204
