------------------------------
      t       Prey   Predator
    231.00      0.00    726.82
    232.00      0.00    723.18
    233.00      0.00    719.57
    234.00      0.00    715.97
    235.00      0.00    712.39
    236.00      0.00    708.83
    237.00      0.00    705.28
    238.00      0.00    701.76
    239.00      0.00    698.25
    240.00      0.00    694.76
    241.00      0.00    691.28
    242.00      0.00    687.83
    243.00      0.00    684.39
    244.00      0.00    680.97
    245.00      0.00    677.56
    246.00      0.00    674.17
    247.00      0.00    670.80
    248.00      0.00    667.45
    249.00      0.00    664.11
    250.00      0.00    660.79
    251.00      0.00    657.49
    252.00      0.00    654.20
    253.00      0.00    650.93
    254.00      0.00    647.67
    255.00      0.00    644.44
    256.00      0.00    641.21
    257.00      0.00    638.01
    258.00      0.00    634.82
    259.00      0.00    631.64
    260.00      0.00    628.49
    261.00      0.00    625.34
    262.00      0.00    622.22
    263.00      0.00    619.10
    264.00      0.00    616.01
    265.00      0.00    612.93
    266.00      0.00    609.86
    267.00      0.00    606.82
    268.00      0.00    603.78
    269.00      0.00    600.76
    270.00      0.00    597.76
    271.00      0.00    594.77
    272.00      0.00    591.80
    273.00      0.00    588.84
    274.00      0.00    585.89
    275.00      0.00    582.96
    276.00      0.00    580.05
    277.00      0.00    577.15
    278.00      0.00    574.26
    279.00      0.00    571.39
    280.00      0.00    568.53
    281.00      0.00    565.69
    282.00      0.00    562.86
    283.00      0.00    560.05
    284.00      0.00    557.25
    285.00      0.00    554.46
    286.00      0.00    551.69
    287.00      0.00    548.93
    288.00      0.00    546.19
    289.00      0.00    543.46
    290.00      0.00    540.74
    291.00      0.00    538.03
    292.00      0.00    535.34
    293.00      0.00    532.67
    294.00      0.00    530.00
    295.00      0.00    527.35
    296.00      0.00    524.72
    297.00      0.00    522.09
    298.00      0.00    519.48
    299.00      0.00    516.89
    300.00      0.00    514.30
    301.00      0.00    511.73
    302.00      0.00    509.17
    303.00      0.00    506.63
    304.00      0.00    504.09
    305.00      0.00    501.57
    306.00      0.00    499.06
    307.00      0.00    496.57
    308.00      0.00    494.09
    309.00      0.00    491.62
    310.00      0.00    489.16
    311.00      0.00    486.71
    312.00      0.00    484.28
    313.00      0.00    481.86
    314.00      0.00    479.45
    315.00      0.00    477.05
    316.00      0.00    474.67
    317.00      0.00    472.29
    318.00      0.00    469.93
    319.00      0.00    467.58
    320.00      0.00    465.24
    321.00      0.00    462.92
    322.00      0.00    460.60
    323.00      0.00    458.30
    324.00      0.00    456.01
    325.00      0.00    453.73
    326.00      0.00    451.46
    327.00      0.00    449.20
    328.00      0.00    446.96
    329.00      0.00    444.72
    330.00      0.00    442.50
    331.00      0.00    440.28
    332.00      0.00    438.08
    333.00      0.00    435.89
    334.00      0.00    433.71
    335.00      0.00    431.54
    336.00      0.00    429.39
    337.00      0.00    427.24
    338.00      0.00    425.10
    339.00      0.00    422.98
    340.00      0.00    420.86
    341.00      0.00    418.76
    342.00      0.00    416.67
    343.00      0.00    414.58
    344.00      0.00    412.51
    345.00      0.00    410.45
    346.00      0.00    408.39
    347.00      0.00    406.35
    348.00      0.00    404.32
    349.00      0.00    402.30
    350.00      0.00    400.29
    351.00      0.00    398.29
    352.00      0.00    396.29
    353.00      0.00    394.31
    354.00      0.00    392.34
    355.00      0.00    390.38
    356.00      0.00    388.43
    357.00      0.00    386.49
    358.00      0.00    384.55
    359.00      0.00    382.63
    360.00      0.00    380.72
    361.00      0.00    378.81
    362.00      0.00    376.92
    363.00      0.00    375.04
    364.00      0.00    373.16
    365.00      0.00    371.29
    366.00      0.00    369.44
    367.00      0.00    367.59
    368.00      0.00    365.75
