 +--------------------+
 | Program exercise13 |
 +--------------------+

 ----------------------------------------
         n        1/n**2          error
      1180       1.644087       0.000847
      1181       1.644088       0.000846
      1182       1.644088       0.000846
      1183       1.644089       0.000845
      1184       1.644090       0.000844
      1185       1.644091       0.000844
      1186       1.644091       0.000843
      1187       1.644092       0.000842
      1188       1.644093       0.000841
      1189       1.644093       0.000841
      1190       1.644094       0.000840
      1191       1.644095       0.000839
      1192       1.644095       0.000839
      1193       1.644096       0.000838
      1194       1.644097       0.000837
      1195       1.644098       0.000836
      1196       1.644098       0.000836
      1197       1.644099       0.000835
      1198       1.644100       0.000834
      1199       1.644100       0.000834
      1200       1.644101       0.000833
      1201       1.644102       0.000832
      1202       1.644102       0.000832
      1203       1.644103       0.000831
      1204       1.644104       0.000830
      1205       1.644105       0.000830
      1206       1.644105       0.000829
      1207       1.644106       0.000828
      1208       1.644107       0.000827
      1209       1.644107       0.000827
      1210       1.644108       0.000826
      1211       1.644109       0.000825
      1212       1.644109       0.000825
      1213       1.644110       0.000824
      1214       1.644111       0.000823
      1215       1.644111       0.000823
      1216       1.644112       0.000822
      1217       1.644113       0.000821
      1218       1.644113       0.000821
      1219       1.644114       0.000820
      1220       1.644115       0.000819
      1221       1.644115       0.000819
      1222       1.644116       0.000818
      1223       1.644117       0.000817
      1224       1.644117       0.000817
      1225       1.644118       0.000816
      1226       1.644119       0.000815
      1227       1.644119       0.000815
      1228       1.644120       0.000814
      1229       1.644121       0.000813
      1230       1.644121       0.000813
      1231       1.644122       0.000812
      1232       1.644123       0.000811
      1233       1.644123       0.000811
      1234       1.644124       0.000810
      1235       1.644125       0.000809
      1236       1.644125       0.000809
      1237       1.644126       0.000808
      1238       1.644127       0.000807
      1239       1.644127       0.000807
      1240       1.644128       0.000806
      1241       1.644129       0.000805
      1242       1.644129       0.000805
      1243       1.644130       0.000804
      1244       1.644131       0.000804
      1245       1.644131       0.000803
      1246       1.644132       0.000802
      1247       1.644132       0.000802
      1248       1.644133       0.000801
      1249       1.644134       0.000800
      1250       1.644134       0.000800
      1251       1.644135       0.000799
      1252       1.644136       0.000798
      1253       1.644136       0.000798
      1254       1.644137       0.000797
      1255       1.644138       0.000796
      1256       1.644138       0.000796
      1257       1.644139       0.000795
      1258       1.644139       0.000795
      1259       1.644140       0.000794
      1260       1.644141       0.000793
      1261       1.644141       0.000793
      1262       1.644142       0.000792
      1263       1.644143       0.000791
      1264       1.644143       0.000791
      1265       1.644144       0.000790
      1266       1.644144       0.000790
      1267       1.644145       0.000789
      1268       1.644146       0.000788
      1269       1.644146       0.000788
      1270       1.644147       0.000787
      1271       1.644148       0.000786
      1272       1.644148       0.000786
      1273       1.644149       0.000785
      1274       1.644149       0.000785
      1275       1.644150       0.000784
      1276       1.644151       0.000783
      1277       1.644151       0.000783
      1278       1.644152       0.000782
      1279       1.644153       0.000782
      1280       1.644153       0.000781
      1281       1.644154       0.000780
      1282       1.644154       0.000780
      1283       1.644155       0.000779
      1284       1.644156       0.000779
      1285       1.644156       0.000778
      1286       1.644157       0.000777
      1287       1.644157       0.000777
      1288       1.644158       0.000776
      1289       1.644159       0.000775
      1290       1.644159       0.000775
      1291       1.644160       0.000774
      1292       1.644160       0.000774
      1293       1.644161       0.000773
      1294       1.644162       0.000772
      1295       1.644162       0.000772
      1296       1.644163       0.000771
      1297       1.644163       0.000771
      1298       1.644164       0.000770
      1299       1.644165       0.000770
      1300       1.644165       0.000769
      1301       1.644166       0.000768
      1302       1.644166       0.000768
      1303       1.644167       0.000767
      1304       1.644167       0.000767
      1305       1.644168       0.000766
      1306       1.644169       0.000765
      1307       1.644169       0.000765
      1308       1.644170       0.000764
      1309       1.644170       0.000764
      1310       1.644171       0.000763
      1311       1.644172       0.000762
      1312       1.644172       0.000762
      1313       1.644173       0.000761
      1314       1.644173       0.000761
      1315       1.644174       0.000760
      1316       1.644174       0.000760
      1317       1.644175       0.000759
      1318       1.644176       0.000758
      1319       1.644176       0.000758
      1320       1.644177       0.000757
      1321       1.644177       0.000757
      1322       1.644178       0.000756
      1323       1.644178       0.000756
      1324       1.644179       0.000755
      1325       1.644180       0.000754
      1326       1.644180       0.000754
      1327       1.644181       0.000753
      1328       1.644181       0.000753
      1329       1.644182       0.000752
      1330       1.644182       0.000752
      1331       1.644183       0.000751
      1332       1.644184       0.000750
      1333       1.644184       0.000750
      1334       1.644185       0.000749
      1335       1.644185       0.000749
      1336       1.644186       0.000748
      1337       1.644186       0.000748
      1338       1.644187       0.000747
      1339       1.644188       0.000747
      1340       1.644188       0.000746
      1341       1.644189       0.000745
      1342       1.644189       0.000745
      1343       1.644190       0.000744
      1344       1.644190       0.000744
      1345       1.644191       0.000743
      1346       1.644191       0.000743
      1347       1.644192       0.000742
      1348       1.644193       0.000742
      1349       1.644193       0.000741
      1350       1.644194       0.000740
      1351       1.644194       0.000740
      1352       1.644195       0.000739
      1353       1.644195       0.000739
      1354       1.644196       0.000738
      1355       1.644196       0.000738
      1356       1.644197       0.000737
      1357       1.644197       0.000737
      1358       1.644198       0.000736
      1359       1.644199       0.000736
      1360       1.644199       0.000735
      1361       1.644200       0.000734
      1362       1.644200       0.000734
      1363       1.644201       0.000733
      1364       1.644201       0.000733
      1365       1.644202       0.000732
      1366       1.644202       0.000732
      1367       1.644203       0.000731
      1368       1.644203       0.000731
      1369       1.644204       0.000730
      1370       1.644204       0.000730
      1371       1.644205       0.000729
      1372       1.644205       0.000729
      1373       1.644206       0.000728
      1374       1.644207       0.000728
      1375       1.644207       0.000727
      1376       1.644208       0.000726
      1377       1.644208       0.000726
      1378       1.644209       0.000725
      1379       1.644209       0.000725
      1380       1.644210       0.000724
      1381       1.644210       0.000724
      1382       1.644211       0.000723
      1383       1.644211       0.000723
      1384       1.644212       0.000722
      1385       1.644212       0.000722
      1386       1.644213       0.000721
      1387       1.644213       0.000721
      1388       1.644214       0.000720
      1389       1.644214       0.000720
      1390       1.644215       0.000719
      1391       1.644215       0.000719
      1392       1.644216       0.000718
      1393       1.644216       0.000718
      1394       1.644217       0.000717
      1395       1.644217       0.000717
      1396       1.644218       0.000716
      1397       1.644219       0.000716
      1398       1.644219       0.000715
      1399       1.644220       0.000715
      1400       1.644220       0.000714
      1401       1.644221       0.000714
      1402       1.644221       0.000713
      1403       1.644222       0.000713
      1404       1.644222       0.000712
      1405       1.644223       0.000711
      1406       1.644223       0.000711
      1407       1.644224       0.000710
      1408       1.644224       0.000710
      1409       1.644225       0.000709
      1410       1.644225       0.000709
      1411       1.644226       0.000708
      1412       1.644226       0.000708
      1413       1.644227       0.000707
      1414       1.644227       0.000707
      1415       1.644228       0.000706
      1416       1.644228       0.000706
      1417       1.644229       0.000705
      1418       1.644229       0.000705
      1419       1.644230       0.000704
      1420       1.644230       0.000704
      1421       1.644231       0.000703
      1422       1.644231       0.000703
      1423       1.644232       0.000702
      1424       1.644232       0.000702
      1425       1.644233       0.000702
      1426       1.644233       0.000701
      1427       1.644234       0.000701
      1428       1.644234       0.000700
      1429       1.644235       0.000700
      1430       1.644235       0.000699
      1431       1.644235       0.000699
      1432       1.644236       0.000698
      1433       1.644236       0.000698
      1434       1.644237       0.000697
      1435       1.644237       0.000697
      1436       1.644238       0.000696
      1437       1.644238       0.000696
      1438       1.644239       0.000695
      1439       1.644239       0.000695
      1440       1.644240       0.000694
      1441       1.644240       0.000694
      1442       1.644241       0.000693
      1443       1.644241       0.000693
      1444       1.644242       0.000692
      1445       1.644242       0.000692
      1446       1.644243       0.000691
      1447       1.644243       0.000691
      1448       1.644244       0.000690
      1449       1.644244       0.000690
      1450       1.644245       0.000689
      1451       1.644245       0.000689
      1452       1.644246       0.000688
      1453       1.644246       0.000688
      1454       1.644247       0.000688
      1455       1.644247       0.000687
      1456       1.644247       0.000687
      1457       1.644248       0.000686
      1458       1.644248       0.000686
      1459       1.644249       0.000685
      1460       1.644249       0.000685
      1461       1.644250       0.000684
      1462       1.644250       0.000684
      1463       1.644251       0.000683
      1464       1.644251       0.000683
      1465       1.644252       0.000682
      1466       1.644252       0.000682
      1467       1.644253       0.000681
      1468       1.644253       0.000681
      1469       1.644254       0.000681
      1470       1.644254       0.000680
      1471       1.644254       0.000680
      1472       1.644255       0.000679
      1473       1.644255       0.000679
      1474       1.644256       0.000678
      1475       1.644256       0.000678
      1476       1.644257       0.000677
      1477       1.644257       0.000677
      1478       1.644258       0.000676
      1479       1.644258       0.000676
      1480       1.644259       0.000675
      1481       1.644259       0.000675
      1482       1.644260       0.000675
      1483       1.644260       0.000674
      1484       1.644260       0.000674
      1485       1.644261       0.000673
      1486       1.644261       0.000673
      1487       1.644262       0.000672
      1488       1.644262       0.000672
      1489       1.644263       0.000671
      1490       1.644263       0.000671
      1491       1.644264       0.000670
      1492       1.644264       0.000670
      1493       1.644264       0.000670
      1494       1.644265       0.000669
      1495       1.644265       0.000669
      1496       1.644266       0.000668
      1497       1.644266       0.000668
      1498       1.644267       0.000667
      1499       1.644267       0.000667
      1500       1.644268       0.000666
      1501       1.644268       0.000666
      1502       1.644269       0.000666
      1503       1.644269       0.000665
      1504       1.644269       0.000665
      1505       1.644270       0.000664
      1506       1.644270       0.000664
      1507       1.644271       0.000663
      1508       1.644271       0.000663
      1509       1.644272       0.000662
      1510       1.644272       0.000662
      1511       1.644272       0.000662
      1512       1.644273       0.000661
      1513       1.644273       0.000661
      1514       1.644274       0.000660
      1515       1.644274       0.000660
      1516       1.644275       0.000659
      1517       1.644275       0.000659
      1518       1.644276       0.000659
      1519       1.644276       0.000658
      1520       1.644276       0.000658
      1521       1.644277       0.000657
      1522       1.644277       0.000657
      1523       1.644278       0.000656
      1524       1.644278       0.000656
      1525       1.644279       0.000656
      1526       1.644279       0.000655
      1527       1.644279       0.000655
      1528       1.644280       0.000654
      1529       1.644280       0.000654
      1530       1.644281       0.000653
      1531       1.644281       0.000653
      1532       1.644282       0.000653
      1533       1.644282       0.000652
      1534       1.644282       0.000652
      1535       1.644283       0.000651
      1536       1.644283       0.000651
      1537       1.644284       0.000650
      1538       1.644284       0.000650
      1539       1.644285       0.000650
      1540       1.644285       0.000649
      1541       1.644285       0.000649
      1542       1.644286       0.000648
      1543       1.644286       0.000648
      1544       1.644287       0.000647
      1545       1.644287       0.000647
      1546       1.644287       0.000647
      1547       1.644288       0.000646
      1548       1.644288       0.000646
      1549       1.644289       0.000645
      1550       1.644289       0.000645
      1551       1.644290       0.000645
      1552       1.644290       0.000644
      1553       1.644290       0.000644
      1554       1.644291       0.000643
      1555       1.644291       0.000643
      1556       1.644292       0.000642
      1557       1.644292       0.000642
      1558       1.644292       0.000642
      1559       1.644293       0.000641
      1560       1.644293       0.000641
      1561       1.644294       0.000640
      1562       1.644294       0.000640
      1563       1.644294       0.000640
      1564       1.644295       0.000639
      1565       1.644295       0.000639
      1566       1.644296       0.000638
      1567       1.644296       0.000638
      1568       1.644297       0.000638
      1569       1.644297       0.000637
      1570       1.644297       0.000637
      1571       1.644298       0.000636
      1572       1.644298       0.000636
      1573       1.644299       0.000636
      1574       1.644299       0.000635
      1575       1.644299       0.000635
      1576       1.644300       0.000634
      1577       1.644300       0.000634
      1578       1.644301       0.000634
      1579       1.644301       0.000633
      1580       1.644301       0.000633
      1581       1.644302       0.000632
      1582       1.644302       0.000632
      1583       1.644303       0.000632
      1584       1.644303       0.000631
      1585       1.644303       0.000631
      1586       1.644304       0.000630
      1587       1.644304       0.000630
      1588       1.644305       0.000630
      1589       1.644305       0.000629
      1590       1.644305       0.000629
      1591       1.644306       0.000628
      1592       1.644306       0.000628
      1593       1.644307       0.000628
      1594       1.644307       0.000627
      1595       1.644307       0.000627
      1596       1.644308       0.000626
      1597       1.644308       0.000626
      1598       1.644308       0.000626
      1599       1.644309       0.000625
      1600       1.644309       0.000625
      1601       1.644310       0.000624
      1602       1.644310       0.000624
      1603       1.644310       0.000624
      1604       1.644311       0.000623
      1605       1.644311       0.000623
      1606       1.644312       0.000622
      1607       1.644312       0.000622
      1608       1.644312       0.000622
      1609       1.644313       0.000621
      1610       1.644313       0.000621
      1611       1.644314       0.000621
      1612       1.644314       0.000620
      1613       1.644314       0.000620
      1614       1.644315       0.000619
      1615       1.644315       0.000619
      1616       1.644315       0.000619
      1617       1.644316       0.000618
      1618       1.644316       0.000618
      1619       1.644317       0.000617
      1620       1.644317       0.000617
      1621       1.644317       0.000617
      1622       1.644318       0.000616
      1623       1.644318       0.000616
      1624       1.644318       0.000616
      1625       1.644319       0.000615
      1626       1.644319       0.000615
      1627       1.644320       0.000614
      1628       1.644320       0.000614
      1629       1.644320       0.000614
      1630       1.644321       0.000613
      1631       1.644321       0.000613
      1632       1.644322       0.000613
      1633       1.644322       0.000612
      1634       1.644322       0.000612
      1635       1.644323       0.000611
      1636       1.644323       0.000611
      1637       1.644323       0.000611
      1638       1.644324       0.000610
      1639       1.644324       0.000610
      1640       1.644324       0.000610
      1641       1.644325       0.000609
      1642       1.644325       0.000609
      1643       1.644326       0.000608
      1644       1.644326       0.000608
      1645       1.644326       0.000608
      1646       1.644327       0.000607
      1647       1.644327       0.000607
      1648       1.644327       0.000607
      1649       1.644328       0.000606
      1650       1.644328       0.000606
      1651       1.644329       0.000606
      1652       1.644329       0.000605
      1653       1.644329       0.000605
      1654       1.644330       0.000604
      1655       1.644330       0.000604
      1656       1.644330       0.000604
      1657       1.644331       0.000603
      1658       1.644331       0.000603
      1659       1.644331       0.000603
      1660       1.644332       0.000602
      1661       1.644332       0.000602
      1662       1.644333       0.000602
      1663       1.644333       0.000601
      1664       1.644333       0.000601
      1665       1.644334       0.000600
      1666       1.644334       0.000600
      1667       1.644334       0.000600
      1668       1.644335       0.000599
      1669       1.644335       0.000599
      1670       1.644335       0.000599
      1671       1.644336       0.000598
      1672       1.644336       0.000598
      1673       1.644337       0.000598
      1674       1.644337       0.000597
      1675       1.644337       0.000597
      1676       1.644338       0.000596
      1677       1.644338       0.000596
      1678       1.644338       0.000596
      1679       1.644339       0.000595
      1680       1.644339       0.000595
      1681       1.644339       0.000595
      1682       1.644340       0.000594
      1683       1.644340       0.000594
      1684       1.644340       0.000594
      1685       1.644341       0.000593
      1686       1.644341       0.000593
      1687       1.644341       0.000593
      1688       1.644342       0.000592
      1689       1.644342       0.000592
      1690       1.644343       0.000592
      1691       1.644343       0.000591
      1692       1.644343       0.000591
      1693       1.644344       0.000590
      1694       1.644344       0.000590
      1695       1.644344       0.000590
      1696       1.644345       0.000589
      1697       1.644345       0.000589
      1698       1.644345       0.000589
      1699       1.644346       0.000588
      1700       1.644346       0.000588
      1701       1.644346       0.000588
      1702       1.644347       0.000587
      1703       1.644347       0.000587
      1704       1.644347       0.000587
      1705       1.644348       0.000586
      1706       1.644348       0.000586
      1707       1.644348       0.000586
      1708       1.644349       0.000585
      1709       1.644349       0.000585
      1710       1.644349       0.000585
      1711       1.644350       0.000584
      1712       1.644350       0.000584
      1713       1.644350       0.000584
      1714       1.644351       0.000583
      1715       1.644351       0.000583
      1716       1.644351       0.000583
      1717       1.644352       0.000582
      1718       1.644352       0.000582
      1719       1.644353       0.000582
      1720       1.644353       0.000581
      1721       1.644353       0.000581
      1722       1.644354       0.000581
      1723       1.644354       0.000580
      1724       1.644354       0.000580
      1725       1.644355       0.000580
      1726       1.644355       0.000579
      1727       1.644355       0.000579
      1728       1.644356       0.000579
      1729       1.644356       0.000578
      1730       1.644356       0.000578
      1731       1.644357       0.000578
      1732       1.644357       0.000577
      1733       1.644357       0.000577
      1734       1.644358       0.000577
      1735       1.644358       0.000576
      1736       1.644358       0.000576
      1737       1.644359       0.000576
      1738       1.644359       0.000575
      1739       1.644359       0.000575
      1740       1.644360       0.000575
      1741       1.644360       0.000574
      1742       1.644360       0.000574
      1743       1.644361       0.000574
      1744       1.644361       0.000573
      1745       1.644361       0.000573
      1746       1.644361       0.000573
      1747       1.644362       0.000572
      1748       1.644362       0.000572
      1749       1.644362       0.000572
      1750       1.644363       0.000571
      1751       1.644363       0.000571
      1752       1.644363       0.000571
      1753       1.644364       0.000570
      1754       1.644364       0.000570
      1755       1.644364       0.000570
      1756       1.644365       0.000569
      1757       1.644365       0.000569
      1758       1.644365       0.000569
      1759       1.644366       0.000568
      1760       1.644366       0.000568
      1761       1.644366       0.000568
      1762       1.644367       0.000567
      1763       1.644367       0.000567
      1764       1.644367       0.000567
      1765       1.644368       0.000566
      1766       1.644368       0.000566
      1767       1.644368       0.000566
      1768       1.644369       0.000565
      1769       1.644369       0.000565
      1770       1.644369       0.000565
      1771       1.644370       0.000564
      1772       1.644370       0.000564
      1773       1.644370       0.000564
      1774       1.644371       0.000564
      1775       1.644371       0.000563
      1776       1.644371       0.000563
      1777       1.644371       0.000563
      1778       1.644372       0.000562
      1779       1.644372       0.000562
      1780       1.644372       0.000562
      1781       1.644373       0.000561
      1782       1.644373       0.000561
      1783       1.644373       0.000561
      1784       1.644374       0.000560
      1785       1.644374       0.000560
      1786       1.644374       0.000560
      1787       1.644375       0.000559
      1788       1.644375       0.000559
      1789       1.644375       0.000559
      1790       1.644376       0.000559
      1791       1.644376       0.000558
      1792       1.644376       0.000558
      1793       1.644376       0.000558
      1794       1.644377       0.000557
      1795       1.644377       0.000557
      1796       1.644377       0.000557
      1797       1.644378       0.000556
      1798       1.644378       0.000556
      1799       1.644378       0.000556
      1800       1.644379       0.000555
      1801       1.644379       0.000555
      1802       1.644379       0.000555
      1803       1.644380       0.000554
      1804       1.644380       0.000554
      1805       1.644380       0.000554
      1806       1.644381       0.000554
      1807       1.644381       0.000553
      1808       1.644381       0.000553
      1809       1.644381       0.000553
      1810       1.644382       0.000552
      1811       1.644382       0.000552
      1812       1.644382       0.000552
      1813       1.644383       0.000551
      1814       1.644383       0.000551
      1815       1.644383       0.000551
      1816       1.644384       0.000551
      1817       1.644384       0.000550
      1818       1.644384       0.000550
      1819       1.644384       0.000550
      1820       1.644385       0.000549
      1821       1.644385       0.000549
      1822       1.644385       0.000549
      1823       1.644386       0.000548
      1824       1.644386       0.000548
      1825       1.644386       0.000548
      1826       1.644387       0.000547
      1827       1.644387       0.000547
      1828       1.644387       0.000547
      1829       1.644387       0.000547
      1830       1.644388       0.000546
      1831       1.644388       0.000546
      1832       1.644388       0.000546
      1833       1.644389       0.000545
      1834       1.644389       0.000545
      1835       1.644389       0.000545
      1836       1.644390       0.000545
      1837       1.644390       0.000544
      1838       1.644390       0.000544
      1839       1.644390       0.000544
      1840       1.644391       0.000543
      1841       1.644391       0.000543
      1842       1.644391       0.000543
      1843       1.644392       0.000542
      1844       1.644392       0.000542
      1845       1.644392       0.000542
      1846       1.644393       0.000542
      1847       1.644393       0.000541
      1848       1.644393       0.000541
      1849       1.644393       0.000541
      1850       1.644394       0.000540
      1851       1.644394       0.000540
      1852       1.644394       0.000540
      1853       1.644395       0.000540
      1854       1.644395       0.000539
      1855       1.644395       0.000539
      1856       1.644395       0.000539
      1857       1.644396       0.000538
      1858       1.644396       0.000538
      1859       1.644396       0.000538
      1860       1.644397       0.000537
      1861       1.644397       0.000537
      1862       1.644397       0.000537
      1863       1.644397       0.000537
      1864       1.644398       0.000536
      1865       1.644398       0.000536
      1866       1.644398       0.000536
      1867       1.644399       0.000535
      1868       1.644399       0.000535
      1869       1.644399       0.000535
      1870       1.644399       0.000535
      1871       1.644400       0.000534
      1872       1.644400       0.000534
      1873       1.644400       0.000534
      1874       1.644401       0.000533
      1875       1.644401       0.000533
      1876       1.644401       0.000533
      1877       1.644401       0.000533
      1878       1.644402       0.000532
      1879       1.644402       0.000532
      1880       1.644402       0.000532
      1881       1.644403       0.000531
      1882       1.644403       0.000531
      1883       1.644403       0.000531
      1884       1.644403       0.000531
      1885       1.644404       0.000530
      1886       1.644404       0.000530
      1887       1.644404       0.000530
      1888       1.644405       0.000530
      1889       1.644405       0.000529
      1890       1.644405       0.000529
      1891       1.644405       0.000529
      1892       1.644406       0.000528
      1893       1.644406       0.000528
      1894       1.644406       0.000528
      1895       1.644407       0.000528
      1896       1.644407       0.000527
      1897       1.644407       0.000527
      1898       1.644407       0.000527
      1899       1.644408       0.000526
      1900       1.644408       0.000526
      1901       1.644408       0.000526
      1902       1.644408       0.000526
      1903       1.644409       0.000525
      1904       1.644409       0.000525
      1905       1.644409       0.000525
      1906       1.644410       0.000525
      1907       1.644410       0.000524
      1908       1.644410       0.000524
      1909       1.644410       0.000524
      1910       1.644411       0.000523
      1911       1.644411       0.000523
      1912       1.644411       0.000523
      1913       1.644411       0.000523
      1914       1.644412       0.000522
      1915       1.644412       0.000522
      1916       1.644412       0.000522
      1917       1.644413       0.000522
      1918       1.644413       0.000521
      1919       1.644413       0.000521
      1920       1.644413       0.000521
      1921       1.644414       0.000520
      1922       1.644414       0.000520
      1923       1.644414       0.000520
      1924       1.644414       0.000520
      1925       1.644415       0.000519
      1926       1.644415       0.000519
      1927       1.644415       0.000519
      1928       1.644416       0.000519
      1929       1.644416       0.000518
      1930       1.644416       0.000518
      1931       1.644416       0.000518
      1932       1.644417       0.000517
      1933       1.644417       0.000517
      1934       1.644417       0.000517
      1935       1.644417       0.000517
      1936       1.644418       0.000516
      1937       1.644418       0.000516
      1938       1.644418       0.000516
      1939       1.644418       0.000516
      1940       1.644419       0.000515
      1941       1.644419       0.000515
      1942       1.644419       0.000515
      1943       1.644420       0.000515
      1944       1.644420       0.000514
      1945       1.644420       0.000514
      1946       1.644420       0.000514
      1947       1.644421       0.000513
      1948       1.644421       0.000513
      1949       1.644421       0.000513
      1950       1.644421       0.000513
      1951       1.644422       0.000512
      1952       1.644422       0.000512
      1953       1.644422       0.000512
      1954       1.644422       0.000512
      1955       1.644423       0.000511
      1956       1.644423       0.000511
      1957       1.644423       0.000511
      1958       1.644423       0.000511
      1959       1.644424       0.000510
      1960       1.644424       0.000510
      1961       1.644424       0.000510
      1962       1.644425       0.000510
      1963       1.644425       0.000509
      1964       1.644425       0.000509
      1965       1.644425       0.000509
      1966       1.644426       0.000509
      1967       1.644426       0.000508
      1968       1.644426       0.000508
      1969       1.644426       0.000508
      1970       1.644427       0.000507
      1971       1.644427       0.000507
      1972       1.644427       0.000507
      1973       1.644427       0.000507
      1974       1.644428       0.000506
      1975       1.644428       0.000506
      1976       1.644428       0.000506
      1977       1.644428       0.000506
      1978       1.644429       0.000505
      1979       1.644429       0.000505
      1980       1.644429       0.000505
      1981       1.644429       0.000505
      1982       1.644430       0.000504
      1983       1.644430       0.000504
      1984       1.644430       0.000504
      1985       1.644430       0.000504
      1986       1.644431       0.000503
      1987       1.644431       0.000503
      1988       1.644431       0.000503
      1989       1.644431       0.000503
      1990       1.644432       0.000502
      1991       1.644432       0.000502
      1992       1.644432       0.000502
      1993       1.644432       0.000502
      1994       1.644433       0.000501
      1995       1.644433       0.000501
      1996       1.644433       0.000501
      1997       1.644433       0.000501
      1998       1.644434       0.000500
      1999       1.644434       0.000500
      2000       1.644434       0.000500
      2001       1.644434       0.000500
      2002       1.644435       0.000499
      2003       1.644435       0.000499
      2004       1.644435       0.000499
      2005       1.644435       0.000499
      2006       1.644436       0.000498
      2007       1.644436       0.000498
      2008       1.644436       0.000498
      2009       1.644436       0.000498
      2010       1.644437       0.000497
      2011       1.644437       0.000497
      2012       1.644437       0.000497
      2013       1.644437       0.000497
      2014       1.644438       0.000496
      2015       1.644438       0.000496
      2016       1.644438       0.000496
      2017       1.644438       0.000496
      2018       1.644439       0.000495
      2019       1.644439       0.000495
      2020       1.644439       0.000495
      2021       1.644439       0.000495
      2022       1.644440       0.000494
      2023       1.644440       0.000494
      2024       1.644440       0.000494
      2025       1.644440       0.000494
      2026       1.644441       0.000493
      2027       1.644441       0.000493
      2028       1.644441       0.000493
      2029       1.644441       0.000493
      2030       1.644442       0.000492
      2031       1.644442       0.000492
      2032       1.644442       0.000492
      2033       1.644442       0.000492
      2034       1.644443       0.000492
      2035       1.644443       0.000491
      2036       1.644443       0.000491
      2037       1.644443       0.000491
      2038       1.644444       0.000491
      2039       1.644444       0.000490
      2040       1.644444       0.000490
      2041       1.644444       0.000490
      2042       1.644444       0.000490
      2043       1.644445       0.000489
      2044       1.644445       0.000489
      2045       1.644445       0.000489
      2046       1.644445       0.000489
      2047       1.644446       0.000488
      2048       1.644446       0.000488
      2049       1.644446       0.000488
      2050       1.644446       0.000488
      2051       1.644447       0.000487
      2052       1.644447       0.000487
      2053       1.644447       0.000487
      2054       1.644447       0.000487
      2055       1.644448       0.000486
      2056       1.644448       0.000486
      2057       1.644448       0.000486
      2058       1.644448       0.000486
      2059       1.644449       0.000486
      2060       1.644449       0.000485
      2061       1.644449       0.000485
      2062       1.644449       0.000485
      2063       1.644449       0.000485
      2064       1.644450       0.000484
      2065       1.644450       0.000484
      2066       1.644450       0.000484
      2067       1.644450       0.000484
      2068       1.644451       0.000483
      2069       1.644451       0.000483
      2070       1.644451       0.000483
      2071       1.644451       0.000483
      2072       1.644452       0.000483
      2073       1.644452       0.000482
      2074       1.644452       0.000482
      2075       1.644452       0.000482
      2076       1.644452       0.000482
      2077       1.644453       0.000481
      2078       1.644453       0.000481
      2079       1.644453       0.000481
      2080       1.644453       0.000481
      2081       1.644454       0.000480
      2082       1.644454       0.000480
      2083       1.644454       0.000480
      2084       1.644454       0.000480
      2085       1.644455       0.000480
      2086       1.644455       0.000479
      2087       1.644455       0.000479
      2088       1.644455       0.000479
      2089       1.644455       0.000479
      2090       1.644456       0.000478
      2091       1.644456       0.000478
      2092       1.644456       0.000478
      2093       1.644456       0.000478
      2094       1.644457       0.000477
      2095       1.644457       0.000477
      2096       1.644457       0.000477
      2097       1.644457       0.000477
      2098       1.644458       0.000477
      2099       1.644458       0.000476
      2100       1.644458       0.000476
      2101       1.644458       0.000476
      2102       1.644458       0.000476
      2103       1.644459       0.000475
      2104       1.644459       0.000475
      2105       1.644459       0.000475
      2106       1.644459       0.000475
      2107       1.644460       0.000474
      2108       1.644460       0.000474
      2109       1.644460       0.000474
      2110       1.644460       0.000474
      2111       1.644460       0.000474
      2112       1.644461       0.000473
      2113       1.644461       0.000473
      2114       1.644461       0.000473
      2115       1.644461       0.000473
      2116       1.644462       0.000472
      2117       1.644462       0.000472
      2118       1.644462       0.000472
      2119       1.644462       0.000472
      2120       1.644462       0.000472
      2121       1.644463       0.000471
      2122       1.644463       0.000471
      2123       1.644463       0.000471
      2124       1.644463       0.000471
      2125       1.644464       0.000470
      2126       1.644464       0.000470
      2127       1.644464       0.000470
      2128       1.644464       0.000470
      2129       1.644464       0.000470
      2130       1.644465       0.000469
      2131       1.644465       0.000469
      2132       1.644465       0.000469
      2133       1.644465       0.000469
      2134       1.644466       0.000468
      2135       1.644466       0.000468
      2136       1.644466       0.000468
      2137       1.644466       0.000468
      2138       1.644466       0.000468
      2139       1.644467       0.000467
      2140       1.644467       0.000467
      2141       1.644467       0.000467
      2142       1.644467       0.000467
      2143       1.644468       0.000467
      2144       1.644468       0.000466
      2145       1.644468       0.000466
      2146       1.644468       0.000466
      2147       1.644468       0.000466
      2148       1.644469       0.000465
      2149       1.644469       0.000465
      2150       1.644469       0.000465
      2151       1.644469       0.000465
      2152       1.644469       0.000465
      2153       1.644470       0.000464
      2154       1.644470       0.000464
      2155       1.644470       0.000464
      2156       1.644470       0.000464
      2157       1.644471       0.000463
      2158       1.644471       0.000463
      2159       1.644471       0.000463
      2160       1.644471       0.000463
      2161       1.644471       0.000463
      2162       1.644472       0.000462
      2163       1.644472       0.000462
      2164       1.644472       0.000462
      2165       1.644472       0.000462
      2166       1.644472       0.000462
      2167       1.644473       0.000461
      2168       1.644473       0.000461
      2169       1.644473       0.000461
      2170       1.644473       0.000461
      2171       1.644474       0.000461
      2172       1.644474       0.000460
      2173       1.644474       0.000460
      2174       1.644474       0.000460
      2175       1.644474       0.000460
