Iter. step       Subinterval   Integral value      Difference
         1       1.00000000       0.09897684       0.09897684
         2       0.50000000       1.05135757       0.95238073
         3       0.25000000       1.06287028       0.01151271
         4       0.12500000       1.05794291       0.00492737
         5       0.06250000       1.05766834       0.00027457
         6       0.03125000       1.05765178       0.00001656
         7       0.01562500       1.05765076       0.00000103
         8       0.00781250       1.05765069       0.00000006

Number of iterations needed: 9
Final subinterval value:    0.00390625
Number of abscissa points: 256
Final value of the quadrature:    1.05765069
