+-------------------------------------+
|        Program final_project        |
| Author: Jose Antonio Quinonero Gris |
+-------------------------------------+

Model: Simple                                                                          
Method: RK4                                                                             

Initial time, t_0 (arbitrary units):       0.00
Time of simulation (arbitrary units):     100.00
Time step (arbitrary units):       0.01
Number of points: 20001

Constants:
alpha =   0.400000
alphaprime =   0.000000
beta =   0.100000
kappa =   1.100000
kappaprime =   0.000000
lambda =   0.400000

Results:
Number of iterations: 20001
Total time of simulation:          100.00

------------------------------------------------
           t            Prey           Predator
------------------------------------------------
           6.04           0.04           1.26
           6.04           0.04           1.25
           6.04           0.04           1.25
           6.05           0.04           1.25
           6.05           0.04           1.25
           6.06           0.04           1.24
           6.07           0.04           1.24
           6.07           0.04           1.24
           6.08           0.04           1.24
           6.08           0.04           1.23
           6.08           0.04           1.23
           6.09           0.04           1.23
           6.09           0.04           1.23
           6.10           0.04           1.23
           6.11           0.04           1.22
           6.11           0.04           1.22
           6.12           0.04           1.22
           6.12           0.04           1.22
           6.12           0.04           1.21
           6.13           0.04           1.21
           6.13           0.04           1.21
           6.14           0.04           1.21
           6.15           0.04           1.20
           6.15           0.04           1.20
           6.16           0.04           1.20
           6.16           0.04           1.20
           6.17           0.04           1.19
           6.17           0.04           1.19
           6.17           0.04           1.19
           6.18           0.04           1.19
           6.19           0.04           1.18
           6.19           0.04           1.18
           6.20           0.04           1.18
           6.20           0.04           1.18
           6.21           0.04           1.18
           6.21           0.04           1.17
           6.21           0.04           1.17
           6.22           0.04           1.17
           6.23           0.04           1.17
           6.23           0.04           1.16
           6.24           0.04           1.16
           6.24           0.05           1.16
           6.25           0.05           1.16
           6.25           0.05           1.15
           6.25           0.05           1.15
           6.26           0.05           1.15
           6.27           0.05           1.15
           6.27           0.05           1.15
           6.28           0.05           1.14
           6.28           0.05           1.14
           6.29           0.05           1.14
           6.29           0.05           1.14
           6.29           0.05           1.13
           6.30           0.05           1.13
           6.30           0.05           1.13
           6.31           0.05           1.13
           6.32           0.05           1.13
           6.32           0.05           1.12
           6.33           0.05           1.12
           6.33           0.05           1.12
           6.33           0.05           1.12
           6.34           0.05           1.11
           6.34           0.05           1.11
           6.35           0.05           1.11
           6.36           0.05           1.11
           6.36           0.05           1.11
           6.37           0.05           1.10
           6.37           0.05           1.10
           6.38           0.05           1.10
           6.38           0.05           1.10
           6.38           0.05           1.09
           6.39           0.05           1.09
           6.40           0.05           1.09
           6.40           0.05           1.09
           6.41           0.05           1.09
           6.41           0.05           1.08
           6.42           0.05           1.08
           6.42           0.05           1.08
           6.42           0.05           1.08
           6.43           0.05           1.08
           6.44           0.05           1.07
           6.44           0.05           1.07
           6.45           0.05           1.07
           6.45           0.05           1.07
           6.46           0.05           1.06
           6.46           0.05           1.06
           6.46           0.05           1.06
           6.47           0.05           1.06
           6.48           0.05           1.06
           6.48           0.05           1.05
           6.49           0.05           1.05
           6.49           0.05           1.05
           6.50           0.05           1.05
           6.50           0.05           1.05
           6.50           0.05           1.04
           6.51           0.05           1.04
           6.52           0.05           1.04
           6.52           0.05           1.04
           6.53           0.05           1.04
           6.53           0.05           1.03
           6.54           0.05           1.03
           6.54           0.05           1.03
           6.54           0.06           1.03
           6.55           0.06           1.03
           6.55           0.06           1.02
           6.56           0.06           1.02
           6.57           0.06           1.02
           6.57           0.06           1.02
           6.58           0.06           1.02
           6.58           0.06           1.01
           6.58           0.06           1.01
           6.59           0.06           1.01
           6.59           0.06           1.01
           6.60           0.06           1.01
           6.61           0.06           1.00
           6.61           0.06           1.00
           6.62           0.06           1.00
           6.62           0.06           1.00
           6.62           0.06           1.00
           6.63           0.06           0.99
           6.63           0.06           0.99
           6.64           0.06           0.99
           6.65           0.06           0.99
           6.65           0.06           0.99
           6.66           0.06           0.98
           6.66           0.06           0.98
           6.67           0.06           0.98
           6.67           0.06           0.98
           6.67           0.06           0.98
           6.68           0.06           0.97
           6.69           0.06           0.97
           6.69           0.06           0.97
           6.70           0.06           0.97
           6.70           0.06           0.97
           6.71           0.06           0.96
           6.71           0.06           0.96
           6.71           0.06           0.96
           6.72           0.06           0.96
           6.73           0.06           0.96
           6.73           0.06           0.96
           6.74           0.06           0.95
           6.74           0.06           0.95
           6.75           0.06           0.95
           6.75           0.06           0.95
           6.75           0.06           0.95
           6.76           0.06           0.94
           6.77           0.06           0.94
           6.77           0.06           0.94
           6.78           0.06           0.94
           6.78           0.07           0.94
           6.79           0.07           0.93
           6.79           0.07           0.93
           6.79           0.07           0.93
           6.80           0.07           0.93
           6.80           0.07           0.93
           6.81           0.07           0.93
           6.82           0.07           0.92
           6.82           0.07           0.92
           6.83           0.07           0.92
           6.83           0.07           0.92
           6.83           0.07           0.92
           6.84           0.07           0.91
           6.84           0.07           0.91
           6.85           0.07           0.91
           6.86           0.07           0.91
           6.86           0.07           0.91
           6.87           0.07           0.91
           6.87           0.07           0.90
           6.88           0.07           0.90
           6.88           0.07           0.90
           6.88           0.07           0.90
           6.89           0.07           0.90
           6.90           0.07           0.90
           6.90           0.07           0.89
           6.91           0.07           0.89
           6.91           0.07           0.89
           6.92           0.07           0.89
           6.92           0.07           0.89
           6.92           0.07           0.88
           6.93           0.07           0.88
           6.94           0.07           0.88
           6.94           0.07           0.88
           6.95           0.07           0.88
           6.95           0.07           0.88
           6.96           0.07           0.87
           6.96           0.07           0.87
           6.96           0.07           0.87
           6.97           0.07           0.87
           6.98           0.08           0.87
           6.98           0.08           0.87
           6.99           0.08           0.86
           6.99           0.08           0.86
           7.00           0.08           0.86
           7.00           0.08           0.86
           7.00           0.08           0.86
           7.01           0.08           0.86
           7.02           0.08           0.85
           7.02           0.08           0.85
           7.03           0.08           0.85
           7.03           0.08           0.85
           7.04           0.08           0.85
           7.04           0.08           0.85
           7.04           0.08           0.84
           7.05           0.08           0.84
           7.05           0.08           0.84
           7.06           0.08           0.84
           7.07           0.08           0.84
           7.07           0.08           0.84
           7.08           0.08           0.83
           7.08           0.08           0.83
           7.08           0.08           0.83
           7.09           0.08           0.83
           7.09           0.08           0.83
           7.10           0.08           0.83
           7.11           0.08           0.82
           7.11           0.08           0.82
           7.12           0.08           0.82
           7.12           0.08           0.82
           7.12           0.08           0.82
           7.13           0.08           0.82
           7.13           0.08           0.81
           7.14           0.09           0.81
           7.15           0.09           0.81
           7.15           0.09           0.81
           7.16           0.09           0.81
           7.16           0.09           0.81
           7.17           0.09           0.81
           7.17           0.09           0.80
           7.17           0.09           0.80
           7.18           0.09           0.80
           7.19           0.09           0.80
           7.19           0.09           0.80
           7.20           0.09           0.80
           7.20           0.09           0.79
           7.21           0.09           0.79
           7.21           0.09           0.79
           7.21           0.09           0.79
           7.22           0.09           0.79
           7.23           0.09           0.79
           7.23           0.09           0.79
           7.24           0.09           0.78
           7.24           0.09           0.78
           7.25           0.09           0.78
           7.25           0.09           0.78
           7.25           0.09           0.78
           7.26           0.09           0.78
           7.27           0.09           0.77
           7.27           0.09           0.77
           7.28           0.09           0.77
           7.28           0.10           0.77
           7.29           0.10           0.77
           7.29           0.10           0.77
           7.29           0.10           0.77
           7.30           0.10           0.76
           7.30           0.10           0.76
           7.31           0.10           0.76
           7.32           0.10           0.76
           7.32           0.10           0.76
           7.33           0.10           0.76
           7.33           0.10           0.76
           7.33           0.10           0.75
           7.34           0.10           0.75
           7.34           0.10           0.75
           7.35           0.10           0.75
           7.36           0.10           0.75
           7.36           0.10           0.75
           7.37           0.10           0.74
           7.37           0.10           0.74
           7.38           0.10           0.74
           7.38           0.10           0.74
           7.38           0.10           0.74
           7.39           0.10           0.74
           7.40           0.10           0.74
           7.40           0.10           0.73
           7.41           0.11           0.73
           7.41           0.11           0.73
           7.42           0.11           0.73
           7.42           0.11           0.73
           7.42           0.11           0.73
           7.43           0.11           0.73
           7.44           0.11           0.72
           7.44           0.11           0.72
           7.45           0.11           0.72
           7.45           0.11           0.72
           7.46           0.11           0.72
           7.46           0.11           0.72
           7.46           0.11           0.72
           7.47           0.11           0.71
           7.48           0.11           0.71
           7.48           0.11           0.71
           7.49           0.11           0.71
           7.49           0.11           0.71
           7.50           0.11           0.71
           7.50           0.11           0.71
           7.50           0.11           0.71
           7.51           0.11           0.70
           7.52           0.11           0.70
           7.52           0.12           0.70
           7.53           0.12           0.70
           7.53           0.12           0.70
           7.54           0.12           0.70
           7.54           0.12           0.70
           7.54           0.12           0.69
           7.55           0.12           0.69
           7.55           0.12           0.69
           7.56           0.12           0.69
           7.57           0.12           0.69
           7.57           0.12           0.69
           7.58           0.12           0.69
           7.58           0.12           0.69
           7.58           0.12           0.68
           7.59           0.12           0.68
           7.59           0.12           0.68
           7.60           0.12           0.68
           7.61           0.12           0.68
           7.61           0.12           0.68
           7.62           0.12           0.68
           7.62           0.13           0.67
           7.62           0.13           0.67
           7.63           0.13           0.67
           7.63           0.13           0.67
           7.64           0.13           0.67
           7.65           0.13           0.67
           7.65           0.13           0.67
           7.66           0.13           0.67
           7.66           0.13           0.66
           7.67           0.13           0.66
           7.67           0.13           0.66
           7.67           0.13           0.66
           7.68           0.13           0.66
           7.69           0.13           0.66
           7.69           0.13           0.66
           7.70           0.13           0.66
           7.70           0.13           0.65
           7.71           0.13           0.65
           7.71           0.14           0.65
           7.71           0.14           0.65
           7.72           0.14           0.65
           7.73           0.14           0.65
           7.73           0.14           0.65
           7.74           0.14           0.65
           7.74           0.14           0.64
           7.75           0.14           0.64
           7.75           0.14           0.64
           7.75           0.14           0.64
           7.76           0.14           0.64
           7.77           0.14           0.64
           7.77           0.14           0.64
           7.78           0.14           0.64
           7.78           0.14           0.63
           7.79           0.14           0.63
           7.79           0.14           0.63
           7.79           0.15           0.63
           7.80           0.15           0.63
           7.81           0.15           0.63
           7.81           0.15           0.63
           7.82           0.15           0.63
           7.82           0.15           0.62
           7.83           0.15           0.62
           7.83           0.15           0.62
           7.83           0.15           0.62
           7.84           0.15           0.62
           7.84           0.15           0.62
           7.85           0.15           0.62
           7.86           0.15           0.62
           7.86           0.15           0.61
           7.87           0.15           0.61
           7.87           0.15           0.61
           7.88           0.16           0.61
           7.88           0.16           0.61
           7.88           0.16           0.61
           7.89           0.16           0.61
           7.90           0.16           0.61
           7.90           0.16           0.61
           7.91           0.16           0.60
           7.91           0.16           0.60
           7.92           0.16           0.60
           7.92           0.16           0.60
           7.92           0.16           0.60
           7.93           0.16           0.60
           7.94           0.16           0.60
           7.94           0.16           0.60
           7.95           0.17           0.60
           7.95           0.17           0.59
           7.96           0.17           0.59
           7.96           0.17           0.59
           7.96           0.17           0.59
           7.97           0.17           0.59
           7.98           0.17           0.59
           7.98           0.17           0.59
           7.99           0.17           0.59
           7.99           0.17           0.58
           8.00           0.17           0.58
           8.00           0.17           0.58
           8.01           0.17           0.58
           8.01           0.17           0.58
           8.02           0.18           0.58
           8.02           0.18           0.58
           8.03           0.18           0.58
           8.03           0.18           0.58
           8.04           0.18           0.57
           8.04           0.18           0.57
           8.04           0.18           0.57
           8.05           0.18           0.57
           8.05           0.18           0.57
           8.06           0.18           0.57
           8.06           0.18           0.57
           8.07           0.18           0.57
           8.07           0.18           0.57
           8.08           0.19           0.57
           8.09           0.19           0.56
           8.09           0.19           0.56
           8.10           0.19           0.56
           8.10           0.19           0.56
           8.11           0.19           0.56
           8.11           0.19           0.56
           8.12           0.19           0.56
           8.12           0.19           0.56
           8.12           0.19           0.56
           8.13           0.19           0.55
           8.13           0.19           0.55
           8.14           0.20           0.55
           8.14           0.20           0.55
           8.15           0.20           0.55
           8.15           0.20           0.55
           8.16           0.20           0.55
           8.17           0.20           0.55
           8.17           0.20           0.55
           8.18           0.20           0.55
           8.18           0.20           0.54
           8.19           0.20           0.54
           8.19           0.20           0.54
           8.20           0.21           0.54
           8.20           0.21           0.54
           8.21           0.21           0.54
           8.21           0.21           0.54
           8.21           0.21           0.54
           8.22           0.21           0.54
           8.22           0.21           0.53
           8.23           0.21           0.53
           8.23           0.21           0.53
           8.24           0.21           0.53
           8.25           0.21           0.53
           8.25           0.22           0.53
           8.26           0.22           0.53
           8.26           0.22           0.53
           8.27           0.22           0.53
           8.27           0.22           0.53
           8.28           0.22           0.52
           8.28           0.22           0.52
           8.29           0.22           0.52
           8.29           0.22           0.52
           8.29           0.22           0.52
           8.30           0.23           0.52
           8.30           0.23           0.52
           8.31           0.23           0.52
           8.31           0.23           0.52
           8.32           0.23           0.52
           8.32           0.23           0.51
           8.33           0.23           0.51
           8.34           0.23           0.51
           8.34           0.23           0.51
           8.35           0.23           0.51
           8.35           0.24           0.51
           8.36           0.24           0.51
           8.36           0.24           0.51
           8.37           0.24           0.51
           8.37           0.24           0.51
           8.38           0.24           0.51
           8.38           0.24           0.50
           8.38           0.24           0.50
           8.39           0.24           0.50
           8.39           0.25           0.50
           8.40           0.25           0.50
           8.40           0.25           0.50
           8.41           0.25           0.50
           8.42           0.25           0.50
           8.42           0.25           0.50
           8.43           0.25           0.50
           8.43           0.25           0.50
           8.44           0.25           0.49
           8.44           0.26           0.49
           8.45           0.26           0.49
           8.45           0.26           0.49
           8.46           0.26           0.49
           8.46           0.26           0.49
           8.46           0.26           0.49
           8.47           0.26           0.49
           8.47           0.26           0.49
           8.48           0.26           0.49
           8.48           0.27           0.48
           8.49           0.27           0.48
           8.50           0.27           0.48
           8.50           0.27           0.48
           8.51           0.27           0.48
           8.51           0.27           0.48
           8.52           0.27           0.48
           8.52           0.27           0.48
           8.53           0.28           0.48
           8.53           0.28           0.48
           8.54           0.28           0.48
           8.54           0.28           0.48
           8.54           0.28           0.47
           8.55           0.28           0.47
           8.55           0.28           0.47
           8.56           0.28           0.47
           8.56           0.29           0.47
           8.57           0.29           0.47
           8.58           0.29           0.47
           8.58           0.29           0.47
           8.59           0.29           0.47
           8.59           0.29           0.47
           8.60           0.29           0.47
           8.60           0.30           0.46
           8.61           0.30           0.46
           8.61           0.30           0.46
           8.62           0.30           0.46
           8.62           0.30           0.46
           8.62           0.30           0.46
           8.63           0.30           0.46
           8.63           0.31           0.46
           8.64           0.31           0.46
           8.64           0.31           0.46
           8.65           0.31           0.46
           8.65           0.31           0.46
           8.66           0.31           0.45
           8.67           0.31           0.45
           8.67           0.32           0.45
           8.68           0.32           0.45
           8.68           0.32           0.45
           8.69           0.32           0.45
           8.69           0.32           0.45
           8.70           0.32           0.45
           8.70           0.32           0.45
           8.71           0.33           0.45
           8.71           0.33           0.45
           8.71           0.33           0.45
           8.72           0.33           0.44
           8.72           0.33           0.44
           8.73           0.33           0.44
           8.73           0.33           0.44
           8.74           0.34           0.44
           8.75           0.34           0.44
           8.75           0.34           0.44
           8.76           0.34           0.44
           8.76           0.34           0.44
           8.77           0.34           0.44
           8.77           0.35           0.44
           8.78           0.35           0.44
           8.78           0.35           0.43
           8.79           0.35           0.43
           8.79           0.35           0.43
           8.79           0.35           0.43
           8.80           0.36           0.43
           8.80           0.36           0.43
           8.81           0.36           0.43
           8.81           0.36           0.43
           8.82           0.36           0.43
           8.83           0.36           0.43
           8.83           0.37           0.43
           8.84           0.37           0.43
           8.84           0.37           0.43
           8.85           0.37           0.42
           8.85           0.37           0.42
           8.86           0.37           0.42
           8.86           0.38           0.42
           8.87           0.38           0.42
           8.87           0.38           0.42
           8.88           0.38           0.42
           8.88           0.38           0.42
           8.88           0.38           0.42
           8.89           0.39           0.42
           8.89           0.39           0.42
           8.90           0.39           0.42
           8.90           0.39           0.42
           8.91           0.39           0.41
           8.92           0.40           0.41
           8.92           0.40           0.41
           8.93           0.40           0.41
           8.93           0.40           0.41
           8.94           0.40           0.41
           8.94           0.40           0.41
           8.95           0.41           0.41
           8.95           0.41           0.41
           8.96           0.41           0.41
           8.96           0.41           0.41
           8.96           0.41           0.41
           8.97           0.42           0.41
           8.97           0.42           0.41
           8.98           0.42           0.40
           8.98           0.42           0.40
           8.99           0.42           0.40
           9.00           0.43           0.40
           9.00           0.43           0.40
           9.01           0.43           0.40
           9.01           0.43           0.40
           9.02           0.43           0.40
           9.02           0.44           0.40
           9.03           0.44           0.40
           9.03           0.44           0.40
           9.04           0.44           0.40
           9.04           0.44           0.40
           9.04           0.45           0.40
           9.05           0.45           0.39
           9.05           0.45           0.39
           9.06           0.45           0.39
           9.06           0.46           0.39
           9.07           0.46           0.39
           9.08           0.46           0.39
           9.08           0.46           0.39
           9.09           0.46           0.39
           9.09           0.47           0.39
           9.10           0.47           0.39
           9.10           0.47           0.39
           9.11           0.47           0.39
           9.11           0.47           0.39
           9.12           0.48           0.39
           9.12           0.48           0.38
           9.12           0.48           0.38
           9.13           0.48           0.38
           9.13           0.49           0.38
           9.14           0.49           0.38
           9.14           0.49           0.38
           9.15           0.49           0.38
           9.15           0.50           0.38
           9.16           0.50           0.38
           9.17           0.50           0.38
           9.17           0.50           0.38
           9.18           0.51           0.38
           9.18           0.51           0.38
           9.19           0.51           0.38
           9.19           0.51           0.38
           9.20           0.51           0.37
           9.20           0.52           0.37
           9.21           0.52           0.37
           9.21           0.52           0.37
           9.21           0.52           0.37
           9.22           0.53           0.37
           9.22           0.53           0.37
           9.23           0.53           0.37
           9.23           0.53           0.37
           9.24           0.54           0.37
           9.25           0.54           0.37
           9.25           0.54           0.37
           9.26           0.55           0.37
           9.26           0.55           0.37
           9.27           0.55           0.37
           9.27           0.55           0.37
           9.28           0.56           0.36
           9.28           0.56           0.36
           9.29           0.56           0.36
           9.29           0.56           0.36
           9.29           0.57           0.36
           9.30           0.57           0.36
           9.30           0.57           0.36
           9.31           0.57           0.36
           9.31           0.58           0.36
           9.32           0.58           0.36
           9.33           0.58           0.36
           9.33           0.59           0.36
           9.34           0.59           0.36
           9.34           0.59           0.36
           9.35           0.59           0.36
           9.35           0.60           0.36
           9.36           0.60           0.35
           9.36           0.60           0.35
           9.37           0.61           0.35
           9.37           0.61           0.35
           9.38           0.61           0.35
           9.38           0.61           0.35
           9.38           0.62           0.35
           9.39           0.62           0.35
           9.39           0.62           0.35
           9.40           0.63           0.35
           9.40           0.63           0.35
           9.41           0.63           0.35
           9.42           0.64           0.35
           9.42           0.64           0.35
           9.43           0.64           0.35
           9.43           0.64           0.35
           9.44           0.65           0.35
           9.44           0.65           0.34
           9.45           0.65           0.34
           9.45           0.66           0.34
           9.46           0.66           0.34
           9.46           0.66           0.34
           9.46           0.67           0.34
           9.47           0.67           0.34
           9.47           0.67           0.34
           9.48           0.68           0.34
           9.48           0.68           0.34
           9.49           0.68           0.34
           9.50           0.69           0.34
           9.50           0.69           0.34
           9.51           0.69           0.34
           9.51           0.70           0.34
           9.52           0.70           0.34
           9.52           0.70           0.34
           9.53           0.71           0.34
           9.53           0.71           0.33
           9.54           0.71           0.33
           9.54           0.72           0.33
           9.54           0.72           0.33
           9.55           0.72           0.33
           9.55           0.73           0.33
           9.56           0.73           0.33
           9.56           0.73           0.33
           9.57           0.74           0.33
           9.58           0.74           0.33
           9.58           0.74           0.33
           9.59           0.75           0.33
           9.59           0.75           0.33
           9.60           0.76           0.33
           9.60           0.76           0.33
           9.61           0.76           0.33
           9.61           0.77           0.33
           9.62           0.77           0.33
           9.62           0.77           0.32
           9.62           0.78           0.32
           9.63           0.78           0.32
           9.63           0.79           0.32
           9.64           0.79           0.32
           9.64           0.79           0.32
           9.65           0.80           0.32
           9.65           0.80           0.32
           9.66           0.81           0.32
           9.67           0.81           0.32
           9.67           0.81           0.32
           9.68           0.82           0.32
           9.68           0.82           0.32
           9.69           0.82           0.32
           9.69           0.83           0.32
           9.70           0.83           0.32
           9.70           0.84           0.32
           9.71           0.84           0.32
           9.71           0.85           0.32
           9.71           0.85           0.32
           9.72           0.85           0.31
           9.72           0.86           0.31
           9.73           0.86           0.31
           9.73           0.87           0.31
           9.74           0.87           0.31
           9.75           0.87           0.31
           9.75           0.88           0.31
           9.76           0.88           0.31
           9.76           0.89           0.31
           9.77           0.89           0.31
           9.77           0.90           0.31
           9.78           0.90           0.31
           9.78           0.90           0.31
           9.79           0.91           0.31
           9.79           0.91           0.31
           9.79           0.92           0.31
           9.80           0.92           0.31
           9.80           0.93           0.31
           9.81           0.93           0.31
           9.81           0.94           0.31
           9.82           0.94           0.31
           9.83           0.95           0.30
           9.83           0.95           0.30
           9.84           0.95           0.30
           9.84           0.96           0.30
           9.85           0.96           0.30
           9.85           0.97           0.30
           9.86           0.97           0.30
           9.86           0.98           0.30
           9.87           0.98           0.30
           9.87           0.99           0.30
           9.88           0.99           0.30
           9.88           1.00           0.30
           9.88           1.00           0.30
           9.89           1.01           0.30
           9.89           1.01           0.30
           9.90           1.02           0.30
           9.90           1.02           0.30
           9.91           1.03           0.30
           9.92           1.03           0.30
           9.92           1.04           0.30
           9.93           1.04           0.30
           9.93           1.05           0.30
           9.94           1.05           0.29
           9.94           1.06           0.29
           9.95           1.06           0.29
           9.95           1.07           0.29
           9.96           1.07           0.29
           9.96           1.08           0.29
           9.96           1.08           0.29
           9.97           1.09           0.29
           9.97           1.10           0.29
           9.98           1.10           0.29
           9.98           1.11           0.29
           9.99           1.11           0.29
          10.00           1.12           0.29
          10.00           1.12           0.29
          10.01           1.13           0.29
          10.01           1.13           0.29
          10.02           1.14           0.29
          10.02           1.14           0.29
          10.03           1.15           0.29
          10.03           1.16           0.29
          10.04           1.16           0.29
          10.04           1.17           0.29
          10.04           1.17           0.29
          10.05           1.18           0.29
          10.05           1.19           0.28
          10.06           1.19           0.28
          10.06           1.20           0.28
          10.07           1.20           0.28
          10.08           1.21           0.28
          10.08           1.21           0.28
          10.09           1.22           0.28
          10.09           1.23           0.28
          10.10           1.23           0.28
          10.10           1.24           0.28
          10.11           1.25           0.28
          10.11           1.25           0.28
          10.12           1.26           0.28
          10.12           1.26           0.28
          10.12           1.27           0.28
          10.13           1.28           0.28
          10.13           1.28           0.28
          10.14           1.29           0.28
          10.14           1.30           0.28
          10.15           1.30           0.28
          10.15           1.31           0.28
          10.16           1.31           0.28
          10.17           1.32           0.28
          10.17           1.33           0.28
          10.18           1.33           0.28
          10.18           1.34           0.28
          10.19           1.35           0.27
          10.19           1.35           0.27
          10.20           1.36           0.27
          10.20           1.37           0.27
          10.21           1.37           0.27
          10.21           1.38           0.27
          10.21           1.39           0.27
          10.22           1.40           0.27
          10.22           1.40           0.27
          10.23           1.41           0.27
          10.23           1.42           0.27
          10.24           1.42           0.27
          10.25           1.43           0.27
          10.25           1.44           0.27
          10.26           1.44           0.27
          10.26           1.45           0.27
          10.27           1.46           0.27
          10.27           1.47           0.27
          10.28           1.47           0.27
          10.28           1.48           0.27
          10.29           1.49           0.27
          10.29           1.50           0.27
          10.29           1.50           0.27
          10.30           1.51           0.27
          10.30           1.52           0.27
          10.31           1.53           0.27
          10.31           1.53           0.27
          10.32           1.54           0.27
          10.33           1.55           0.27
          10.33           1.56           0.26
          10.34           1.56           0.26
          10.34           1.57           0.26
          10.35           1.58           0.26
          10.35           1.59           0.26
          10.36           1.60           0.26
          10.36           1.60           0.26
          10.37           1.61           0.26
          10.37           1.62           0.26
          10.38           1.63           0.26
          10.38           1.64           0.26
          10.38           1.64           0.26
          10.39           1.65           0.26
          10.39           1.66           0.26
          10.40           1.67           0.26
          10.40           1.68           0.26
          10.41           1.69           0.26
          10.42           1.69           0.26
          10.42           1.70           0.26
          10.43           1.71           0.26
          10.43           1.72           0.26
          10.44           1.73           0.26
          10.44           1.74           0.26
          10.45           1.74           0.26
          10.45           1.75           0.26
          10.46           1.76           0.26
          10.46           1.77           0.26
          10.46           1.78           0.26
          10.47           1.79           0.26
          10.47           1.80           0.26
          10.48           1.81           0.26
          10.48           1.82           0.26
          10.49           1.82           0.26
          10.50           1.83           0.25
          10.50           1.84           0.25
          10.51           1.85           0.25
          10.51           1.86           0.25
          10.52           1.87           0.25
          10.52           1.88           0.25
          10.53           1.89           0.25
          10.53           1.90           0.25
          10.54           1.91           0.25
          10.54           1.92           0.25
          10.54           1.93           0.25
          10.55           1.94           0.25
          10.55           1.95           0.25
          10.56           1.96           0.25
          10.56           1.97           0.25
          10.57           1.98           0.25
          10.58           1.99           0.25
          10.58           2.00           0.25
          10.59           2.01           0.25
          10.59           2.02           0.25
          10.60           2.03           0.25
          10.60           2.04           0.25
          10.61           2.05           0.25
          10.61           2.06           0.25
          10.62           2.07           0.25
          10.62           2.08           0.25
          10.62           2.09           0.25
          10.63           2.10           0.25
          10.63           2.11           0.25
          10.64           2.12           0.25
          10.64           2.13           0.25
          10.65           2.14           0.25
          10.65           2.15           0.25
          10.66           2.16           0.25
          10.67           2.17           0.25
          10.67           2.18           0.25
          10.68           2.20           0.25
          10.68           2.21           0.25
          10.69           2.22           0.25
          10.69           2.23           0.25
          10.70           2.24           0.25
          10.70           2.25           0.24
          10.71           2.26           0.24
          10.71           2.27           0.24
          10.71           2.29           0.24
          10.72           2.30           0.24
          10.72           2.31           0.24
          10.73           2.32           0.24
          10.73           2.33           0.24
          10.74           2.34           0.24
          10.75           2.36           0.24
          10.75           2.37           0.24
          10.76           2.38           0.24
          10.76           2.39           0.24
          10.77           2.40           0.24
          10.77           2.42           0.24
          10.78           2.43           0.24
          10.78           2.44           0.24
          10.79           2.45           0.24
          10.79           2.46           0.24
          10.79           2.48           0.24
          10.80           2.49           0.24
          10.80           2.50           0.24
          10.81           2.51           0.24
          10.81           2.53           0.24
          10.82           2.54           0.24
          10.83           2.55           0.24
          10.83           2.57           0.24
          10.84           2.58           0.24
          10.84           2.59           0.24
          10.85           2.60           0.24
          10.85           2.62           0.24
          10.86           2.63           0.24
          10.86           2.64           0.24
          10.87           2.66           0.24
          10.87           2.67           0.24
          10.88           2.68           0.24
          10.88           2.70           0.24
          10.88           2.71           0.24
          10.89           2.72           0.24
          10.89           2.74           0.24
          10.90           2.75           0.24
          10.90           2.77           0.24
          10.91           2.78           0.24
          10.92           2.79           0.24
          10.92           2.81           0.24
          10.93           2.82           0.24
