+-------------------------------------+
|        Program final_project        |
| Author: Jose Antonio Quinonero Gris |
+-------------------------------------+

Model: Simple                                                                          
Method: RK4                                                                             

Initial time, t_0 (arbitrary units):       0.00
Time of simulation (arbitrary units):     100.00
Time step (arbitrary units):       0.01
Number of points: 20001

Constants:
alpha =   0.400000
alphaprime =   0.000000
beta =   0.100000
kappa =   1.100000
kappaprime =   0.000000
lambda =   0.400000

Results:
Number of iterations: 20001
Total time of simulation:          100.00

------------------------------------------------
           t            Prey           Predator
------------------------------------------------
           0.97           0.54           9.22
           0.97           0.53           9.20
           0.98           0.52           9.19
           0.98           0.52           9.17
           0.99           0.51           9.16
           0.99           0.50           9.14
           1.00           0.50           9.12
           1.01           0.49           9.11
           1.01           0.49           9.09
           1.02           0.48           9.08
           1.02           0.47           9.06
           1.02           0.47           9.04
           1.03           0.46           9.03
           1.03           0.46           9.01
           1.04           0.45           9.00
           1.04           0.44           8.98
           1.05           0.44           8.96
           1.05           0.43           8.95
           1.06           0.43           8.93
           1.06           0.42           8.92
           1.07           0.42           8.90
           1.07           0.41           8.88
           1.08           0.41           8.87
           1.08           0.40           8.85
           1.09           0.40           8.84
           1.09           0.39           8.82
           1.10           0.39           8.80
           1.10           0.38           8.79
           1.11           0.38           8.77
           1.11           0.37           8.76
           1.12           0.37           8.74
           1.12           0.37           8.73
           1.13           0.36           8.71
           1.14           0.36           8.69
           1.14           0.35           8.68
           1.15           0.35           8.66
           1.15           0.34           8.65
           1.16           0.34           8.63
           1.16           0.34           8.61
           1.17           0.33           8.60
           1.17           0.33           8.58
           1.18           0.33           8.57
           1.18           0.32           8.55
           1.19           0.32           8.54
           1.19           0.31           8.52
           1.20           0.31           8.50
           1.20           0.31           8.49
           1.21           0.30           8.47
           1.21           0.30           8.46
           1.22           0.30           8.44
           1.22           0.29           8.43
           1.23           0.29           8.41
           1.23           0.29           8.39
           1.24           0.28           8.38
           1.24           0.28           8.36
           1.25           0.28           8.35
           1.25           0.27           8.33
           1.26           0.27           8.32
           1.26           0.27           8.30
           1.27           0.26           8.29
           1.27           0.26           8.27
           1.28           0.26           8.26
           1.28           0.26           8.24
           1.28           0.25           8.22
           1.29           0.25           8.21
           1.29           0.25           8.19
           1.30           0.25           8.18
           1.30           0.24           8.16
           1.31           0.24           8.15
           1.31           0.24           8.13
           1.32           0.24           8.12
           1.32           0.23           8.10
           1.33           0.23           8.09
           1.33           0.23           8.07
           1.34           0.23           8.06
           1.34           0.22           8.04
           1.35           0.22           8.03
           1.35           0.22           8.01
           1.36           0.22           8.00
           1.36           0.21           7.98
           1.37           0.21           7.97
           1.38           0.21           7.95
           1.38           0.21           7.93
           1.39           0.20           7.92
           1.39           0.20           7.90
           1.40           0.20           7.89
           1.40           0.20           7.87
           1.41           0.20           7.86
           1.41           0.19           7.84
           1.42           0.19           7.83
           1.42           0.19           7.82
           1.43           0.19           7.80
           1.43           0.19           7.79
           1.44           0.19           7.77
           1.44           0.18           7.76
           1.45           0.18           7.74
           1.45           0.18           7.73
           1.46           0.18           7.71
           1.46           0.18           7.70
           1.47           0.17           7.68
           1.47           0.17           7.67
           1.48           0.17           7.65
           1.48           0.17           7.64
           1.49           0.17           7.62
           1.49           0.17           7.61
           1.50           0.16           7.59
           1.50           0.16           7.58
           1.51           0.16           7.57
           1.51           0.16           7.55
           1.52           0.16           7.54
           1.52           0.16           7.52
           1.53           0.16           7.51
           1.53           0.15           7.49
           1.54           0.15           7.48
           1.54           0.15           7.46
           1.54           0.15           7.45
           1.55           0.15           7.44
           1.55           0.15           7.42
           1.56           0.15           7.41
           1.56           0.14           7.39
           1.57           0.14           7.38
           1.57           0.14           7.36
